"Kod";"Nazwa";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";
1004000;"Powiat łęczycki";3425,90;3532,14;3582,28;3725,91;3885,89;4104,85;4378,45;4822,41;5112,54;6026,04;6905,17;
1005000;"Powiat łowicki";3121,34;3201,38;3247,31;3337,54;3534,91;3781,96;4080,42;4460,42;4866,80;5395,60;6192,74;
1006000;"Powiat łódzki wschodni";2796,04;2951,68;3118,38;3256,75;3463,82;3759,87;4041,73;4423,99;4921,85;5475,31;6313,01;
1007000;"Powiat opoczyński";3004,95;3087,19;3174,36;3263,60;3427,90;3679,30;3940,12;4343,35;4877,79;5462,96;6391,34;
1008000;"Powiat pabianicki";3094,69;3189,30;3402,55;3539,63;3778,57;4046,87;4408,23;4675,17;5097,18;5650,74;6349,64;
1009000;"Powiat pajęczański";3227,39;3339,61;3429,55;3530,89;3672,03;3919,72;4151,26;4573,46;4878,09;5467,17;6143,74;
1010000;"Powiat piotrkowski";2886,28;2957,04;3058,72;3196,29;3436,14;3695,68;3986,06;4255,64;4657,40;5278,96;5846,87;
1011000;"Powiat poddębicki";3690,42;3743,12;3900,35;4094,44;4387,98;4679,92;5252,21;5688,39;6479,53;7377,24;8302,47;
1012000;"Powiat radomszczański";2838,40;2994,84;3088,13;3220,16;3406,71;3631,65;3942,12;4368,96;4807,65;5333,33;6032,02;
1013000;"Powiat rawski";3058,13;3168,26;3304,09;3366,71;3561,95;4027,10;4255,27;4509,52;5001,06;5550,93;6172,78;
1014000;"Powiat sieradzki";3082,99;3205,91;3297,51;3453,10;3648,13;3949,33;4272,65;4741,55;5105,75;5626,08;6435,58;
1015000;"Powiat skierniewicki";2964,68;3167,86;3301,35;3467,73;3612,61;3893,12;4137,68;4451,49;4861,50;5408,39;6092,92;
1016000;"Powiat tomaszowski";3009,61;3094,40;3258,86;3295,07;3554,59;3807,65;4091,46;4473,72;4926,75;5478,29;6341,69;
