"Kod";"Nazwa";"ogółem;ogółem;2013;[szt.]";"ogółem;ogółem;2014;[szt.]";"ogółem;ogółem;2015;[szt.]";"ogółem;ogółem;2016;[szt.]";"ogółem;ogółem;2017;[szt.]";"ogółem;ogółem;2018;[szt.]";"ogółem;ogółem;2019;[szt.]";"ogółem;ogółem;2020;[szt.]";"ogółem;ogółem;2021;[szt.]";"ogółem;ogółem;2022;[szt.]";"ogółem;ogółem;2023;[szt.]";
1465000;"Powiat m. st. Warszawa";12947;13937;21912;24731;23289;23192;22916;21691;21286;22754;23564;
1601000;"Powiat brzeski";254;301;313;342;458;499;503;499;570;552;550;
1602000;"Powiat głubczycki";102;83;95;93;122;125;105;308;147;117;160;
1603000;"Powiat kędzierzyńsko-kozielski";444;266;255;337;279;322;322;293;372;289;318;
1604000;"Powiat kluczborski";143;147;185;167;221;211;232;226;283;175;202;
1605000;"Powiat krapkowicki";127;129;123;118;111;125;79;120;143;298;239;
1606000;"Powiat namysłowski";97;146;163;188;152;223;196;191;160;201;195;
1607000;"Powiat nyski";284;219;304;394;448;448;499;524;671;653;705;
1608000;"Powiat oleski";51;35;48;49;36;47;51;44;75;76;62;
1609000;"Powiat opolski";126;80;88;125;155;179;194;125;225;185;225;
1610000;"Powiat prudnicki";100;84;90;95;128;130;147;160;176;147;167;
1611000;"Powiat strzelecki";93;96;100;98;130;133;137;80;104;78;163;
1661000;"Powiat m. Opole";793;883;841;915;1025;1331;1360;1707;1510;1682;1373;
1801000;"Powiat bieszczadzki";34;62;41;36;72;63;59;50;120;37;87;
1802000;"Powiat brzozowski";12;30;24;20;25;27;49;26;46;30;56;
1803000;"Powiat dębicki";95;116;118;89;145;134;176;155;439;307;298;
1804000;"Powiat jarosławski";121;163;138;151;257;211;219;209;291;235;195;
1805000;"Powiat jasielski";73;55;70;83;77;75;81;65;89;140;86;
1806000;"Powiat kolbuszowski";5;0;4;10;16;62;26;20;22;72;25;
1807000;"Powiat krośnieński";15;22;24;18;40;24;29;30;22;17;70;
1808000;"Powiat leżajski";30;36;42;44;53;56;68;35;79;69;65;
1809000;"Powiat lubaczowski";19;14;32;37;32;33;39;41;46;32;25;
1810000;"Powiat łańcucki";59;28;34;27;103;48;101;53;191;204;331;
1811000;"Powiat mielecki";114;74;131;175;201;174;184;227;309;328;335;
1812000;"Powiat niżański";30;10;21;18;35;29;20;23;32;26;25;
1813000;"Powiat przemyski";33;37;38;43;34;47;57;51;71;42;46;
1814000;"Powiat przeworski";35;22;25;39;27;46;42;32;47;36;121;
1815000;"Powiat ropczycko-sędziszowski";22;35;55;65;65;58;65;80;84;54;66;
1816000;"Powiat rzeszowski";97;108;86;134;152;290;356;312;226;378;279;
1817000;"Powiat sanocki";42;59;47;47;98;111;154;67;94;150;134;
1818000;"Powiat stalowowolski";201;195;259;312;385;290;306;188;319;304;334;
1819000;"Powiat strzyżowski";24;29;23;16;16;52;16;17;39;31;62;
1820000;"Powiat tarnobrzeski";39;38;55;41;46;67;81;67;66;62;56;
1821000;"Powiat leski";27;34;24;26;20;15;37;47;25;30;48;
1861000;"Powiat m. Krosno";126;115;136;104;101;111;215;158;150;220;145;
1862000;"Powiat m. Przemyśl";258;190;203;212;207;337;388;440;403;491;448;
1863000;"Powiat m. Rzeszów";1215;1177;1915;1052;1094;2586;4028;3740;4247;3434;2853;
1864000;"Powiat m. Tarnobrzeg";40;34;102;47;78;129;120;99;138;163;145;
2001000;"Powiat augustowski";105;66;126;98;78;86;197;79;140;198;170;
2002000;"Powiat białostocki";160;224;209;279;235;397;361;392;585;653;418;
2003000;"Powiat bielski";0;0;0;0;0;60;64;51;38;95;57;
2004000;"Powiat grajewski";57;56;60;105;63;154;129;133;100;60;109;
2005000;"Powiat hajnowski";0;0;44;39;55;54;74;69;64;36;83;
2006000;"Powiat kolneński";32;25;25;49;40;62;144;50;52;66;0;
2007000;"Powiat łomżyński";11;8;0;4;4;11;10;25;17;9;32;
2008000;"Powiat moniecki";8;4;12;19;27;19;52;113;19;19;11;
2009000;"Powiat sejneński";10;7;11;32;24;9;38;11;15;36;0;
2010000;"Powiat siemiatycki";0;5;5;17;5;51;28;13;93;51;99;
2011000;"Powiat sokólski";23;28;60;39;65;35;41;45;51;45;62;
2012000;"Powiat suwalski";8;17;22;21;17;15;22;7;23;15;22;
2013000;"Powiat wysokomazowiecki";24;24;6;37;28;70;40;36;31;116;145;
2014000;"Powiat zambrowski";99;110;120;85;81;101;124;105;275;134;141;
2061000;"Powiat m. Białystok";2069;2412;2448;2864;3146;2992;3510;3402;4592;3827;3958;
2062000;"Powiat m. Łomża";233;354;233;413;307;441;299;396;434;569;497;
2063000;"Powiat m. Suwałki";274;295;222;47;511;526;562;625;625;420;583;
2201000;"Powiat bytowski";117;137;152;226;225;266;246;277;302;271;213;
2202000;"Powiat chojnicki";188;202;144;154;286;337;374;383;366;461;287;
2203000;"Powiat człuchowski";119;131;152;160;174;164;188;236;316;191;183;
2204000;"Powiat gdański";934;831;607;770;843;1366;1172;1017;1693;1317;1747;
2205000;"Powiat kartuski";264;241;265;362;530;636;669;523;606;561;730;
2206000;"Powiat kościerski";82;121;130;144;144;167;124;236;151;173;221;
2207000;"Powiat kwidzyński";139;172;203;236;226;265;261;296;280;273;285;
2208000;"Powiat lęborski";303;291;345;381;374;506;504;530;633;548;566;
2209000;"Powiat malborski";292;261;263;249;299;416;394;380;425;359;425;
2210000;"Powiat nowodworski";86;151;166;161;226;145;216;257;248;371;378;
2211000;"Powiat pucki";386;306;568;489;635;815;813;914;1068;1363;1158;
2212000;"Powiat słupski";207;240;232;345;332;311;231;351;464;515;338;
